date,value
1.73E+12,103830.51
1.73E+12,99553.43
1.73E+12,102369.69
1.73E+12,97424.19
1.73E+12,98481.2
1.73E+12,96966.35
1.73E+12,93117.22
1.73E+12,96234.055
1.73E+12,100678.47
1.73E+12,102405.55
1.73E+12,102159.39
1.73E+12,100936.73
1.73E+12,103554.53
1.73E+12,106612.07
1.73E+12,101991.84
1.73E+12,105907.67
1.73E+12,101985.97
1.73E+12,100884.83
1.73E+12,103872.36
1.73E+12,98694.195
1.73E+12,102972.695
1.73E+12,98214.516
1.73E+12,96548.21
1.73E+12,99495.92
1.73E+12,97663.83
1.73E+12,99021.71
1.73E+12,105609.17
1.73E+12,100998.414
1.73E+12,103870.695
1.73E+12,105786.49
1.73E+12,100785.18
1.73E+12,102697.35
1.73E+12,98126.08
1.73E+12,100794.445
1.73E+12,95926.98
1.73E+12,101133.79
1.73E+12,104225.17
1.73E+12,102228.97
1.73E+12,107364.086
1.73E+12,102507.07
1.73E+12,106475.63
1.73E+12,107220.35
1.73E+12,101176.87
1.73E+12,106307.38
1.73E+12,107823.35
1.73E+12,101270.47
1.73E+12,105619.35
1.73E+12,105105.04
1.73E+12,102441.69
1.73E+12,101491.12
1.73E+12,102047.72
1.73E+12,106444.45
1.73E+12,99106.375
1.73E+12,102741.38
1.73E+12,99479.91
1.73E+12,102373.32
1.73E+12,99144.11
1.73E+12,99415.25
1.73E+12,103240.76
1.73E+12,101271.02
1.73E+12,104694.19
1.73E+12,105428.15
1.73E+12,104330.2
1.73E+12,108904.25
1.73E+12,104543.02
1.73E+12,100565.79
1.73E+12,104048.33
1.73E+12,106285.25
1.73E+12,108466.41
1.73E+12,108449.61
1.73E+12,103303.7
1.73E+12,105694.54
1.73E+12,104032.07
1.73E+12,106853.55
1.73E+12,102608.734
1.73E+12,108690.7
1.73E+12,109343.93
1.73E+12,107179.59
1.73E+12,106133.375
1.73E+12,107980.88
1.73E+12,104505.16
1.73E+12,106538.18
1.73E+12,98249.56
1.73E+12,106936.625
1.73E+12,92475.664
1.73E+12,86601.59
1.73E+12,82609.49
1.73E+12,75160.086
1.73E+12,75118
1.73E+12,75650.17
1.73E+12,71868.81
1.73E+12,70134.63
1.73E+12,73459.36
1.73E+12,71857.14
1.73E+12,74814.28
1.73E+12,70362.32
1.73E+12,77168.04
1.73E+12,78523.91
1.73E+12,72201.984
1.73E+12,74047.38
1.73E+12,79351.49
1.73E+12,72810.79
1.73E+12,78748.75
1.73E+12,76885.24
1.73E+12,71618.18
1.73E+12,74719.15
1.73E+12,69377.805
1.73E+12,76784.54
1.73E+12,81599.65
1.73E+12,72663.55
