date,F1,F2,F3,F4,F5,OT
2020/1/7 11:00,0.197115385,0.421052632,0.400641026,0.111111111,0.152,0.120044053
2020/1/7 12:00,0.201923077,0.254385965,0.368589744,0.092592593,0.232,0.185848018
2020/1/7 13:00,0.336538462,0.157894737,0.432692308,0.203703704,0.388,0.349118943
2020/1/7 14:00,0.350961538,0.184210526,0.477564103,0.203703704,0.344,0.271751101
2020/1/7 15:00,0.264423077,0.280701754,0.455128205,0.148148148,0.228,0.161894273
2020/1/7 16:00,0.375,0.219298246,0.481570513,0.162037037,0.31,0.246971366
2020/1/7 17:00,0.485576923,0.157894737,0.508012821,0.175925926,0.392,0.332048458
2020/1/7 18:00,0.331730769,0.271929825,0.432692308,0.12962963,0.26,0.212004405
2020/1/7 19:00,0.307692308,0.236842105,0.483974359,0.185185185,0.26,0.177312775
2020/1/7 20:00,0.239182692,0.243421053,0.415064103,0.152777778,0.23,0.173182819
2020/1/7 21:00,0.170673077,0.25,0.346153846,0.12037037,0.2,0.169052863
2020/1/7 22:00,0.341346154,0.219298246,0.458333333,0.185185185,0.3,0.216134361
2020/1/7 23:00,0.240384615,0.254385965,0.365384615,0.12962963,0.212,0.15996696
2020/1/8 0:00,0.302884615,0.175438596,0.467948718,0.166666667,0.324,0.245594714
2020/1/8 1:00,0.230769231,0.254385965,0.407051282,0.148148148,0.252,0.217786344
2020/1/8 2:00,0.326923077,0.198830409,0.429487179,0.160493827,0.293333333,0.221365639
2020/1/8 3:00,0.326923077,0.187134503,0.438034188,0.160493827,0.309333333,0.242933186
2020/1/8 4:00,0.326923077,0.175438596,0.446581197,0.160493827,0.325333333,0.264500734
2020/1/8 5:00,0.272435897,0.274853801,0.416666667,0.185185185,0.269333333,0.22246696
2020/1/8 6:00,0.197115385,0.298245614,0.342948718,0.12962963,0.172,0.125
2020/1/8 7:00,0.557692308,0.140350877,0.512820513,0.185185185,0.456,0.429515419
2020/1/8 8:00,0.333333333,0.204678363,0.467948718,0.160493827,0.306666667,0.242290749
2020/1/8 9:00,0.192307692,0.280701754,0.346153846,0.111111111,0.192,0.126651982
2020/1/8 10:00,0.310897436,0.257309942,0.384615385,0.160493827,0.250666667,0.1760279
2020/1/8 11:00,0.254807692,0.210526316,0.448717949,0.185185185,0.244,0.163546256
2020/1/8 12:00,0.216346154,0.219298246,0.413461538,0.148148148,0.224,0.1594163
2020/1/8 13:00,0.307692308,0.201754386,0.448717949,0.185185185,0.26,0.199614537
2020/1/8 14:00,0.230769231,0.342105263,0.304487179,0.148148148,0.124,0.073237885
2020/1/8 15:00,0.230769231,0.239766082,0.358974359,0.172839506,0.216,0.162812041
2020/1/8 16:00,0.201923077,0.192982456,0.493589744,0.185185185,0.256,0.175660793
2020/1/8 17:00,0.235576923,0.175438596,0.461538462,0.148148148,0.24,0.171255507
2020/1/8 18:00,0.269230769,0.298245614,0.416666667,0.185185185,0.144,0.073237885
2020/1/8 19:00,0.253205128,0.245614035,0.414529915,0.160493827,0.205333333,0.1479442
2020/1/8 20:00,0.282051282,0.18128655,0.452991453,0.160493827,0.266666667,0.199889868
2020/1/8 21:00,0.240384615,0.271929825,0.378205128,0.148148148,0.18,0.123623348
2020/1/8 22:00,0.278846154,0.201754386,0.400641026,0.148148148,0.256,0.192731278
2020/1/8 23:00,0.230769231,0.175438596,0.429487179,0.111111111,0.296,0.234581498
2020/1/9 0:00,0.326923077,0.18128655,0.444444444,0.148148148,0.298666667,0.241923642
2020/1/9 1:00,0.278846154,0.298245614,0.423076923,0.111111111,0.212,0.167125551
2020/1/9 2:00,0.211538462,0.368421053,0.352564103,0.074074074,0.12,0.085352423
2020/1/9 3:00,0.240384615,0.271929825,0.378205128,0.111111111,0.204,0.157764317
2020/1/9 4:00,0.278846154,0.166666667,0.439102564,0.148148148,0.34,0.279735683
2020/1/9 5:00,0.230769231,0.157894737,0.435897436,0.148148148,0.28,0.213656388
2020/1/9 6:00,0.201923077,0.236842105,0.394230769,0.12962963,0.268,0.188325991
2020/1/9 7:00,0.246794872,0.216374269,0.448717949,0.135802469,0.253333333,0.171989721
2020/1/9 8:00,0.288461538,0.157894737,0.423076923,0.12962963,0.34,0.280286344
2020/1/9 9:00,0.379807692,0.166666667,0.461538462,0.166666667,0.356,0.25715859
2020/1/9 10:00,0.480769231,0.122807018,0.480769231,0.148148148,0.408,0.31938326
2020/1/9 11:00,0.230769231,0.228070175,0.381410256,0.111111111,0.216,0.15253304
2020/1/9 12:00,0.399038462,0.157894737,0.474358974,0.111111111,0.296,0.209801762
2020/1/9 13:00,0.397435897,0.134502924,0.489316239,0.148148148,0.344,0.259911894
2020/1/9 14:00,0.259615385,0.201754386,0.381410256,0.074074074,0.236,0.167676211
2020/1/9 15:00,0.225961538,0.210526316,0.435897436,0.055555556,0.224,0.147577093
2020/1/9 16:00,0.211538462,0.315789474,0.346153846,0.148148148,0.128,0.074889868
2020/1/9 17:00,0.320512821,0.116959064,0.414529915,0.061728395,0.32,0.233296623
2020/1/9 18:00,0.317307692,0.100877193,0.467948718,0.111111111,0.304,0.213105727
